CNPJ,Cod_Cliente1,Regiao,T.O. 25kg,T.O. 50kg,Est. 40kg,Est. 50kg,códigos analisados
'1644548',VC-A PARNAIBA PIAUI','18035092000100',1,1,0,0,"CÓDIGO: 6187345, CÓDIGO: 6111677"
'1638719',VC-ADAMANTINA','43454978000136',1,2,0,1,"CÓDIGO: 6054172, CÓDIGO: 6111677, CÓDIGO: 6054180, CÓDIGO: 6135552"
'1364275',VC-AFONSO CLAUDIO','14209372000137',0,2,0,1,"CÓDIGO: 6187066, CÓDIGO: 6111677, CÓDIGO: 6162599"
'1647091',VC-AGLOM URB S LUIS','26917795000190',1,1,0,0,"CÓDIGO: 6187345, CÓDIGO: 6111677"
'1486227',VC-AGRESTE ITABAIAN','16698944000114',1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6111677, CÓDIGO: 6054178"
'1637190',VC-AGRESTE LAGARTO','34375501000174',1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6111677, CÓDIGO: 6054178"
'1451621',VC-AL MEARIM GRAJAU','28028044000149',0,2,0,0,"CÓDIGO: 6111677, CÓDIGO: 6054178"
'1630170',VC-ALAGOA S S FRANC','03611536000131',1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6111677, CÓDIGO: 6054178"
'1646071',VC-ALAGOINHAS','42324800000108',1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6111677, CÓDIGO: 6054178"
'1613263',VC-ALEGRE','41807285000154',0,2,0,1,"CÓDIGO: 6187066, CÓDIGO: 6111677, CÓDIGO: 6162599"
'1559368',VC-ALFENAS','11739079000193',1,2,0,0,"CÓDIGO: 6172139, CÓDIGO: 6165750, CÓDIGO: 6111677"
'1617866',VC-ALTA FLORESTA','75911438001798',1,2,0,1,"CÓDIGO: 6054184, CÓDIGO: 6165750, CÓDIGO: 6111677, CÓDIGO: 6132938"
'1642137',VC-ALTAMIRA','29669089000165',1,2,0,1,"CÓDIGO: 6054184, CÓDIGO: 6165750, CÓDIGO: 6111677, CÓDIGO: 6132938"
'1227632',VC-ALTO ARAGUAIA','11471607000176',1,2,0,1,"CÓDIGO: 6054184, CÓDIGO: 6054187, CÓDIGO: 6111677, CÓDIGO: 6132938"
'1635768',VC-ALTO CAPIBARIBE','31343975000146',1,3,0,0,"CÓDIGO: 6161835, CÓDIGO: 6054188, CÓDIGO: 6111677, CÓDIGO: 6054178"
'1629206',VC-ALTO GUAPORE','24690555000170',1,2,0,1,"CÓDIGO: 6054184, CÓDIGO: 6054187, CÓDIGO: 6111677, CÓDIGO: 6132938"
'1068563',VC-ALTO M GURGUEIA','23646870000219',2,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6187345, CÓDIGO: 6111677, CÓDIGO: 6054178"
'1636636',VC-ALTO ME CANINDE','43956043000158',2,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6187345, CÓDIGO: 6111677, CÓDIGO: 6054178"
'1537738',VC-ALTO PANTANAL','07192090000109',1,2,0,1,"CÓDIGO: 6054184, CÓDIGO: 6054187, CÓDIGO: 6111677, CÓDIGO: 6132938"
'1062344',VC-ALTO PARAGUAI','07398863000108',1,2,0,1,"CÓDIGO: 6054184, CÓDIGO: 6165750, CÓDIGO: 6111677, CÓDIGO: 6132938"
'1624652',VC-ALTO SOLIMOES','43170152000145',0,4,0,1,"CÓDIGO: 6180473, CÓDIGO: 8020791, CÓDIGO: 6111677, CÓDIGO: 6187022, CÓDIGO: 8018790"
'1553110',VC-ALTO TAQUARI','28787311000161',1,4,0,0,"CÓDIGO: 6054184, CÓDIGO: 6054157, CÓDIGO: 6054187, CÓDIGO: 6165750, CÓDIGO: 6111677"
'1650466',VC-ALTO TELES PIRES','22782709000129',1,3,0,1,"CÓDIGO: 6054184, CÓDIGO: 6054187, CÓDIGO: 6165750, CÓDIGO: 6111677, CÓDIGO: 6132938"
'1647595',VC-ALVORADA DOESTE','44510313000165',1,2,0,0,"CÓDIGO: 6054184, CÓDIGO: 6165750, CÓDIGO: 6111677"
'1631861',VC-AMPARO','31388164000161',1,3,0,1,"CÓDIGO: 6054172, CÓDIGO: 6165750, CÓDIGO: 6111677, CÓDIGO: 6054180, CÓDIGO: 6135552"
'1484877',VC-ANAPOLIS','10816406000109',1,2,0,0,"CÓDIGO: 6172311, CÓDIGO: 6135560, CÓDIGO: 6111677"
'1638616',VC-ANDRADINA','41777553000213',1,2,0,0,"CÓDIGO: 6172139, CÓDIGO: 6165750, CÓDIGO: 6111677"
'1604406',VC-ANDRELANDIA','17851981000930',0,2,0,0,"CÓDIGO: 6165750, CÓDIGO: 6111677"
'1629762',VC-ANICUNS','26682610000106',0,2,0,1,"CÓDIGO: 6135560, CÓDIGO: 6111677, CÓDIGO: 6135561"
'1632515',VC-APUCARANA','81689416000160',1,2,0,0,"CÓDIGO: 6054186, CÓDIGO: 6111677, CÓDIGO: 6054190"
'1539580',VC-AQUIDAUANA','20147696000190',0,3,0,0,"CÓDIGO: 6054157, CÓDIGO: 6054187, CÓDIGO: 6111677"
'1644122',VC-ARACAJU','30312192000132',1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6111677, CÓDIGO: 6054178"
'1608380',VC-ARACATUBA','15913547000155',1,2,0,0,"CÓDIGO: 6172139, CÓDIGO: 6165750, CÓDIGO: 6111677"
'1525355',VC-ARAGARCAS','30829079000129',0,2,0,0,"CÓDIGO: 6135560, CÓDIGO: 6111677"
'1145399',VC-ARAPIRACA','01554921000169',1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6111677, CÓDIGO: 6054178"
'1637316',VC-ARARANGUA','42237414000189',1,2,0,0,"CÓDIGO: 6054186, CÓDIGO: 6111677, CÓDIGO: 6054205"
'1644927',VC-ARARAQUARA','11221006000105',1,2,0,0,"CÓDIGO: 6172139, CÓDIGO: 6165750, CÓDIGO: 6111677"
'1640197',VC-ARARI','40827146000120',0,2,0,0,"CÓDIGO: 6111677, CÓDIGO: 6054178"
'1643905',VC-ARARIPINA','40729885000189',1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6111677, CÓDIGO: 6054178"
'1616814',VC-ARAXA','41197926000104',0,2,0,0,"CÓDIGO: 6165750, CÓDIGO: 6111677"
'1624162',VC-ARINOS','13858125000107',1,2,0,1,"CÓDIGO: 6054184, CÓDIGO: 6165750, CÓDIGO: 6111677, CÓDIGO: 6132938"
'1635917',VC-ARIPUANA','42973946000184',1,3,0,1,"CÓDIGO: 6054184, CÓDIGO: 6054187, CÓDIGO: 6165750, CÓDIGO: 6111677, CÓDIGO: 6132938"
'1620843',VC-ARIQUEMES','35421080000133',1,3,0,1,"CÓDIGO: 6054184, CÓDIGO: 6120895, CÓDIGO: 6165750, CÓDIGO: 6111677, CÓDIGO: 6132938"
'1636480',VC-ASSAI','19857136000140',1,2,0,0,"CÓDIGO: 6054186, CÓDIGO: 6111677, CÓDIGO: 6054190"
'1586287',VC-ASSIS','39473933000131',2,3,0,0,"CÓDIGO: 6054172, CÓDIGO: 6054186, CÓDIGO: 6111677, CÓDIGO: 6054190, CÓDIGO: 6054180"
'1642740',VC-ASTORGA','40601070000110',1,2,0,0,"CÓDIGO: 6054186, CÓDIGO: 6111677, CÓDIGO: 6054190"
'1061032',VC-AURIFLAMA','63971048000167',1,2,0,0,"CÓDIGO: 6172139, CÓDIGO: 6165750, CÓDIGO: 6111677"
'1177565',VC-AVARE','68038132000146',1,4,0,1,"CÓDIGO: 6054172, CÓDIGO: 6165750, CÓDIGO: 6111677, CÓDIGO: 6054190, CÓDIGO: 6054180, CÓDIGO: 6135552"
'1610355',VC-BACIA D SAO JOAO','36947436000130',0,2,0,1,"CÓDIGO: 6187066, CÓDIGO: 6111677, CÓDIGO: 6162599"
'1576274',VC-BAIA ILHA GRANDE','33344202000100',2,2,0,1,"CÓDIGO: 6187067, CÓDIGO: 6112143, CÓDIGO: 6187066, CÓDIGO: 6111677, CÓDIGO: 6162599"
'1576022',VC-BAIXA MARANHENSE','21461245000196',1,2,0,0,"CÓDIGO: 6187345, CÓDIGO: 6111677, CÓDIGO: 6054178"
'1614317',VC-BAIXO COTINGUIBA','37290614000165',1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6111677, CÓDIGO: 6054178"
'1610274',VC-BAIXO CURU','42027756000174',1,2,0,0,"CÓDIGO: 6187345, CÓDIGO: 6111677, CÓDIGO: 6185568"
'1508720',VC-BAIXO JAGUARIBE','22042300000176',1,1,0,0,"CÓDIGO: 6187345, CÓDIGO: 6111677"
'1527674',VC-BAIXO PANTANAL','31797656000100',0,3,0,0,"CÓDIGO: 6054157, CÓDIGO: 6054187, CÓDIGO: 6111677"
'1633408',VC-BARRA','35015487000160',1,3,0,0,"CÓDIGO: 6161835, CÓDIGO: 6135560, CÓDIGO: 6111677, CÓDIGO: 6054178"
'1276001',VC-BARRA DO PIRAI','14232750000101',1,2,0,1,"CÓDIGO: 6187067, CÓDIGO: 6187066, CÓDIGO: 6111677, CÓDIGO: 6162599"
'1440980',VC-BARRA S FRANCISC','27984806000118',0,2,0,0,"CÓDIGO: 6187066, CÓDIGO: 6111677"
'1648434',VC-BARREIRAS','16956269000186',0,4,0,3,"CÓDIGO: 6135560, CÓDIGO: 8020800, CÓDIGO: 6111677, CÓDIGO: 6054178, CÓDIGO: 8018790, CÓDIGO: 6132939, CÓDIGO: 8020801"
'1645749',VC-BARRETOS','31061676000119',1,2,0,0,"CÓDIGO: 6172139, CÓDIGO: 6165750, CÓDIGO: 6111677"
'1622535',VC-BARRO','43021285000150',2,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6187345, CÓDIGO: 6111677, CÓDIGO: 6054178"
'1602680',VC-BATALHA','12316402000189',1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6111677, CÓDIGO: 6054178"
'1229898',VC-BATATAIS','01980824000138',1,2,0,0,"CÓDIGO: 6172139, CÓDIGO: 6165750, CÓDIGO: 6111677"
'1629222',VC-BATURITE','34407818000145',1,1,0,0,"CÓDIGO: 6187345, CÓDIGO: 6111677"
'1593534',VC-BAURU','31526548000101',1,2,0,1,"CÓDIGO: 6054172, CÓDIGO: 6111677, CÓDIGO: 6054180, CÓDIGO: 6135552"
'1631739',VC-BELEM','41317962000156',0,2,0,0,"CÓDIGO: 6111677, CÓDIGO: 6054178"
'1590259',VC-BERTOLINIA','37397972000171',1,1,0,0,"CÓDIGO: 6187345, CÓDIGO: 6111677"
'1343912',VC-BICO DO PAPAGAIO','08836171000167',0,2,0,0,"CÓDIGO: 6111677, CÓDIGO: 6054158"
'1644704',VC-BIRIGUI','34132062000179',1,2,0,0,"CÓDIGO: 6172139, CÓDIGO: 6165750, CÓDIGO: 6111677"
'1640975',VC-BLUMENAU','30808688000100',1,3,0,0,"CÓDIGO: 6054186, CÓDIGO: 6111677, CÓDIGO: 6054190, CÓDIGO: 6054205"
'1503323',VC-BOA VISTA','03047054000109',0,2,0,0,"CÓDIGO: 8020791, CÓDIGO: 6111677"
'1455386',VC-BODOQUENA','09225584000178',0,4,0,0,"CÓDIGO: 6054157, CÓDIGO: 6054187, CÓDIGO: 6165750, CÓDIGO: 6111677"
'1526028',VC-BOM JESUS D LAPA','22491677000102',1,3,0,0,"CÓDIGO: 6161835, CÓDIGO: 6135560, CÓDIGO: 6111677, CÓDIGO: 6054178"
'1627054',VC-BOQUIM','42811371000101',1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6111677, CÓDIGO: 6054178"
'1627054',VC-BOQUIRA','42811371000101',1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6111677, CÓDIGO: 6054178"
'1637972',VC-BOTUCATU','15098680000103',1,2,0,1,"CÓDIGO: 6054172, CÓDIGO: 6111677, CÓDIGO: 6054180, CÓDIGO: 6135552"
'1614233',VC-BRAGANCA PAULIST','22748697000116',1,3,0,0,"CÓDIGO: 6054172, CÓDIGO: 6165750, CÓDIGO: 6111677, CÓDIGO: 6054180"
'1575975',VC-BRAGANTINA','36824749000109',0,2,0,0,"CÓDIGO: 6111677, CÓDIGO: 6054178"
'1226283',VC-BRASILEIA','04594370000155',0,2,0,0,"CÓDIGO: 6120895, CÓDIGO: 6111677"
'1633651',VC-BRASILIA','16010431009478',1,2,0,1,"CÓDIGO: 6172311, CÓDIGO: 6135560, CÓDIGO: 6111677, CÓDIGO: 6132939"
'1597994',VC-BREJO PARAIBANO','34303692000240',0,2,0,0,"CÓDIGO: 6054188, CÓDIGO: 6111677"
'1648170',VC-BREJO PERNAMBU','10658502000168',1,3,0,0,"CÓDIGO: 6161835, CÓDIGO: 6054188, CÓDIGO: 6111677, CÓDIGO: 6054178"
'1622748',VC-BREJO SANTO','09017714000268',1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6111677, CÓDIGO: 6054178"
'1629028',VC-BRUMADO','39319288000105',1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6111677, CÓDIGO: 6054178"
'1621945',VC-BX PARNAIB PIAUI','21262125000160',1,1,0,0,"CÓDIGO: 6187345, CÓDIGO: 6111677"
'1540574',VC-BXO PARNAI MARAN','15409819000184',1,1,0,0,"CÓDIGO: 6187345, CÓDIGO: 6111677"
'1561651',VC-CACHOEIRA DO SUL','87755799000538',0,2,0,0,"CÓDIGO: 6111677, CÓDIGO: 6054205"
'1633344',VC-CACHOEIRO ITAPEM','44040197000168',0,2,0,1,"CÓDIGO: 6187066, CÓDIGO: 6111677, CÓDIGO: 6162599"
'1559712',VC-CACOAL','34375501000174',1,4,0,1,"CÓDIGO: 6054184, CÓDIGO: 6054187, CÓDIGO: 6120895, CÓDIGO: 6165750, CÓDIGO: 6111677, CÓDIGO: 6132938"
'1487078',VC-CAJAZEIRAS','08599788000106',0,2,0,0,"CÓDIGO: 6054188, CÓDIGO: 6111677"
'1621370',VC-CAMAQUA','42790975000100',1,2,0,0,"CÓDIGO: 6054204, CÓDIGO: 6111677, CÓDIGO: 6054205"
'1617856',VC-CAMETA','40858535000112',0,2,0,0,"CÓDIGO: 6111677, CÓDIGO: 6054178"
'1629205',VC-CAMPANHA CENTRAL','22875979000184',1,2,0,0,"CÓDIGO: 6054204, CÓDIGO: 6111677, CÓDIGO: 6054205"
'1649348',VC-CAMPANHA MERIDION','45586183000107',1,2,0,0,"CÓDIGO: 6054204, CÓDIGO: 6111677, CÓDIGO: 6054205"
'1635653',VC-CAMPANHA OCIDENT','96418264053330',1,2,0,0,"CÓDIGO: 6054204, CÓDIGO: 6111677, CÓDIGO: 6054205"
'1591042',VC-CAMPINA GRANDE','26814649000130',1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6054188, CÓDIGO: 6111677"
'1615189',VC-CAMPINAS','40422956000104',1,3,0,0,"CÓDIGO: 6054172, CÓDIGO: 6165750, CÓDIGO: 6111677, CÓDIGO: 6054180"
'1647196',VC-CAMPO GRANDE','40719741000141',0,5,0,0,"CÓDIGO: 6054157, CÓDIGO: 6054187, CÓDIGO: 6165750, CÓDIGO: 6111677, CÓDIGO: 6054190"
'1643238',VC-CAMPO MAIOR','27537410000122',1,1,0,1,"CÓDIGO: 6187345, CÓDIGO: 6111677, CÓDIGO: 6160545"
'1623560',VC-CAMPO MOURAO','38453857000130',1,2,0,0,"CÓDIGO: 6054186, CÓDIGO: 6111677, CÓDIGO: 6054190"
'1350645',VC-CAMPOS DE LAGES','82977125000130',1,3,0,0,"CÓDIGO: 6054186, CÓDIGO: 6111677, CÓDIGO: 6054190, CÓDIGO: 6054205"
'1634440',VC-CAMPOS DO JORDAO','17135985000165',1,2,0,1,"CÓDIGO: 6054172, CÓDIGO: 6111677, CÓDIGO: 6054180, CÓDIGO: 6135552"
'1547813',VC-CAMPOS GOYTACAZE','12240556000134',0,2,0,1,"CÓDIGO: 6187066, CÓDIGO: 6111677, CÓDIGO: 6162599"
'1627497',VC-CANARANA','28302504000185',1,3,0,1,"CÓDIGO: 6054184, CÓDIGO: 6135560, CÓDIGO: 6054187, CÓDIGO: 6111677, CÓDIGO: 6132938"
'1644923',VC-CANINDE','26669235000164',1,1,0,0,"CÓDIGO: 6187345, CÓDIGO: 6111677"
'1641887',VC-CANOINHAS','27723924000172',1,3,0,0,"CÓDIGO: 6054186, CÓDIGO: 6111677, CÓDIGO: 6054190, CÓDIGO: 6054205"
'1526321',VC-CANTAGALO-CORDEI','10916445000170',1,2,0,0,"CÓDIGO: 6112143, CÓDIGO: 6187066, CÓDIGO: 6111677"
'1649098',VC-CAPANEMA','23903344000106',1,2,0,0,"CÓDIGO: 6054186, CÓDIGO: 6111677, CÓDIGO: 6054190"
'1464082',VC-CAPAO BONITO','15392273000104',1,3,0,1,"CÓDIGO: 6054172, CÓDIGO: 6111677, CÓDIGO: 6054190, CÓDIGO: 6054180, CÓDIGO: 6135552"
'1623099',VC-CARAGUATATUBA','32546842000130',1,3,0,1,"CÓDIGO: 6054172, CÓDIGO: 6187066, CÓDIGO: 6111677, CÓDIGO: 6054180, CÓDIGO: 6135552"
'1627844',VC-CARAZINHO','37543920000166',1,3,0,0,"CÓDIGO: 6054186, CÓDIGO: 6111677, CÓDIGO: 6054190, CÓDIGO: 6054205"
'1638413',VC-CARIRA','43332781000124',1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6111677, CÓDIGO: 6054178"
'1616685',VC-CARIRI','42351139000120',2,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6187345, CÓDIGO: 6111677, CÓDIGO: 6054178"
'1622440',VC-CARIRI OCIDENTAL','33040368000132',0,2,0,0,"CÓDIGO: 6054188, CÓDIGO: 6111677"
'1530783',VC-CARIRIACU','26812657000147',1,1,0,0,"CÓDIGO: 6161835, CÓDIGO: 6111677"
'1123132',VC-CASCAVEL (CE)','08333729000191',1,1,0,0,"CÓDIGO: 6187345, CÓDIGO: 6111677"
'1202683',VC-CASCAVEL (PR)','05131251000129',1,2,0,0,"CÓDIGO: 6054186, CÓDIGO: 6111677, CÓDIGO: 6054190"
'1647210',VC-CASSILANDIA','87035176004820',0,2,0,0,"CÓDIGO: 6165750, CÓDIGO: 6111677"
'1631331',VC-CASTANHAL','43607893000140',0,2,0,0,"CÓDIGO: 6111677, CÓDIGO: 6054178"
'1620942',VC-CATAGUASES','20671364000100',0,2,0,1,"CÓDIGO: 6187066, CÓDIGO: 6111677, CÓDIGO: 6162599"
'1642863',VC-CATALAO','17167429000170',0,2,0,1,"CÓDIGO: 6135560, CÓDIGO: 6111677, CÓDIGO: 6135561"
'1615969',VC-CATANDUVA','41156642000161',1,2,0,0,"CÓDIGO: 6172139, CÓDIGO: 6165750, CÓDIGO: 6111677"
'1615969',VC-CATOLE DO ROCHA','41156642000161',1,2,0,0,"CÓDIGO: 6172139, CÓDIGO: 6165750, CÓDIGO: 6111677"
'1374326',VC-CATU','19828845000106',1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6111677, CÓDIGO: 6054178"
'1631868',VC-CAXIAS','28959380000105',1,1,0,1,"CÓDIGO: 6187345, CÓDIGO: 6111677, CÓDIGO: 6160545"
'1630724',VC-CAXIAS DO SUL','31629288000191',1,2,0,0,"CÓDIGO: 6054204, CÓDIGO: 6111677, CÓDIGO: 6054205"
'1640082',VC-CERES','26513386000129',1,2,0,0,"CÓDIGO: 6172311, CÓDIGO: 6135560, CÓDIGO: 6111677"
'1052639',VC-CERRO AZUL','97419683000158',0,2,0,0,"CÓDIGO: 6111677, CÓDIGO: 6054190"
'1617785',VC-CERRO LARGO','97081434001096',1,3,0,0,"CÓDIGO: 6054204, CÓDIGO: 6111677, CÓDIGO: 6054190, CÓDIGO: 6054205"
'1620811',VC-CHAPA EXT S PIAU','29170312000125',1,1,0,0,"CÓDIGO: 6187345, CÓDIGO: 6111677"
'1554687',VC-CHAPAD A ITAPECU','14581044000167',0,1,0,0,CÓDIGO: 6111677
'1632241',VC-CHAPADA ARARIPE','31513619000123',2,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6187345, CÓDIGO: 6111677, CÓDIGO: 6054178"
'1506005',VC-CHAPADA DO APODI','10770571000169',1,1,0,0,"CÓDIGO: 6187345, CÓDIGO: 6111677"
'1544214',VC-CHAPADA VEADEIRO','26159015000190',0,2,0,1,"CÓDIGO: 6135560, CÓDIGO: 6111677, CÓDIGO: 6132939"
'1624116',VC-CHAPADINHA','14099243000133',1,1,0,1,"CÓDIGO: 6187345, CÓDIGO: 6111677, CÓDIGO: 6160545"
'1635774',VC-CHAPECO','33712984000192',1,3,0,0,"CÓDIGO: 6054186, CÓDIGO: 6111677, CÓDIGO: 6054190, CÓDIGO: 6054205"
'1412322',VC-CHOROZINHO','13545808000520',1,1,0,0,"CÓDIGO: 6187345, CÓDIGO: 6111677"
'1384969',VC-CIANORTE','10329953000151',1,2,0,0,"CÓDIGO: 6054186, CÓDIGO: 6111677, CÓDIGO: 6054190"
'1434524',VC-COARI','08620504000116',0,2,0,1,"CÓDIGO: 8020791, CÓDIGO: 6111677, CÓDIGO: 8018790"
'1620412',VC-CODO','40625418000109',1,1,0,0,"CÓDIGO: 6187345, CÓDIGO: 6111677"
'1620412',VC-COELHO NETO','40625418000109',1,1,0,0,"CÓDIGO: 6187345, CÓDIGO: 6111677"
'1490132',VC-COLATINA','11122045000155',0,2,0,0,"CÓDIGO: 6187066, CÓDIGO: 6111677"
'1588747',VC-COLIDER','31913670000122',1,2,0,1,"CÓDIGO: 6054184, CÓDIGO: 6165750, CÓDIGO: 6111677, CÓDIGO: 6132938"
'1623303',VC-COLORADO D OE','35421080000133',1,2,0,0,"CÓDIGO: 6054184, CÓDIGO: 6165750, CÓDIGO: 6111677"
'1514602',VC-CONCEICAO ARAGUA','59225698001168',0,1,0,1,"CÓDIGO: 6111677, CÓDIGO: 6160545"
'1624090',VC-CONCORDIA','42078866000165',1,3,0,0,"CÓDIGO: 6054186, CÓDIGO: 6111677, CÓDIGO: 6054190, CÓDIGO: 6054205"
'1539484',VC-COREAU','28195043000199',1,1,0,0,"CÓDIGO: 6187345, CÓDIGO: 6111677"
'1626333',VC-CORNELIO PROCOPI','28033904000132',1,3,0,0,"CÓDIGO: 6054186, CÓDIGO: 6111677, CÓDIGO: 6054190, CÓDIGO: 6054180"
'1646930',VC-COTEGIPE','43025562000100',0,4,0,1,"CÓDIGO: 6135560, CÓDIGO: 8020800, CÓDIGO: 6111677, CÓDIGO: 6054178, CÓDIGO: 8018790"
'1643135',VC-COTINGUIBA','40479861000119',1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6111677, CÓDIGO: 6054178"
'1648106',VC-CRICIUMA','78739158000175',1,2,0,0,"CÓDIGO: 6054186, CÓDIGO: 6111677, CÓDIGO: 6054205"
'1617231',VC-CRUZ ALTA','38144065000183',2,3,0,0,"CÓDIGO: 6054186, CÓDIGO: 6054204, CÓDIGO: 6111677, CÓDIGO: 6054190, CÓDIGO: 6054205"
'1608133',VC-CRUZEIRO DO SUL','59225698001320',0,2,0,0,"CÓDIGO: 6120895, CÓDIGO: 6111677"
'1582290',VC-CUIABA','37806325000176',1,3,0,1,"CÓDIGO: 6054184, CÓDIGO: 6054187, CÓDIGO: 6165750, CÓDIGO: 6111677, CÓDIGO: 6132938"
'1559338',VC-CURIMATAU OCIDEN','30973961000305',0,2,0,0,"CÓDIGO: 6054188, CÓDIGO: 6111677"
'1593861',VC-CURIMATAU ORIENT','29045666000148',0,2,0,0,"CÓDIGO: 6054188, CÓDIGO: 6111677"
'1622257',VC-CURITIBA','34612970000160',1,2,0,0,"CÓDIGO: 6054186, CÓDIGO: 6111677, CÓDIGO: 6054190"
'1549424',VC-CURITIBANOS','89426415000135',1,3,0,0,"CÓDIGO: 6054186, CÓDIGO: 6111677, CÓDIGO: 6054190, CÓDIGO: 6054205"
